count,next,previous,results
1154,https://pokeapi.co/api/v2/pokemon/?offset=1000&limit=154,,"{'name': 'bulbasaur', 'url': 'https://pokeapi.co/api/v2/pokemon/1/'}"
1154,https://pokeapi.co/api/v2/pokemon/?offset=1000&limit=154,,"{'name': 'ivysaur', 'url': 'https://pokeapi.co/api/v2/pokemon/2/'}"
1154,https://pokeapi.co/api/v2/pokemon/?offset=1000&limit=154,,"{'name': 'venusaur', 'url': 'https://pokeapi.co/api/v2/pokemon/3/'}"
1154,https://pokeapi.co/api/v2/pokemon/?offset=1000&limit=154,,"{'name': 'charmander', 'url': 'https://pokeapi.co/api/v2/pokemon/4/'}"
1154,https://pokeapi.co/api/v2/pokemon/?offset=1000&limit=154,,"{'name': 'charmeleon', 'url': 'https://pokeapi.co/api/v2/pokemon/5/'}"
1154,https://pokeapi.co/api/v2/pokemon/?offset=1000&limit=154,,"{'name': 'charizard', 'url': 'https://pokeapi.co/api/v2/pokemon/6/'}"
1154,https://pokeapi.co/api/v2/pokemon/?offset=1000&limit=154,,"{'name': 'squirtle', 'url': 'https://pokeapi.co/api/v2/pokemon/7/'}"
1154,https://pokeapi.co/api/v2/pokemon/?offset=1000&limit=154,,"{'name': 'wartortle', 'url': 'https://pokeapi.co/api/v2/pokemon/8/'}"
1154,https://pokeapi.co/api/v2/pokemon/?offset=1000&limit=154,,"{'name': 'blastoise', 'url': 'https://pokeapi.co/api/v2/pokemon/9/'}"
1154,https://pokeapi.co/api/v2/pokemon/?offset=1000&limit=154,,"{'name': 'caterpie', 'url': 'https://pokeapi.co/api/v2/pokemon/10/'}"
1154,https://pokeapi.co/api/v2/pokemon/?offset=1000&limit=154,,"{'name': 'metapod', 'url': 'https://pokeapi.co/api/v2/pokemon/11/'}"
1154,https://pokeapi.co/api/v2/pokemon/?offset=1000&limit=154,,"{'name': 'butterfree', 'url': 'https://pokeapi.co/api/v2/pokemon/12/'}"
1154,https://pokeapi.co/api/v2/pokemon/?offset=1000&limit=154,,"{'name': 'weedle', 'url': 'https://pokeapi.co/api/v2/pokemon/13/'}"
1154,https://pokeapi.co/api/v2/pokemon/?offset=1000&limit=154,,"{'name': 'kakuna', 'url': 'https://pokeapi.co/api/v2/pokemon/14/'}"
1154,https://pokeapi.co/api/v2/pokemon/?offset=1000&limit=154,,"{'name': 'beedrill', 'url': 'https://pokeapi.co/api/v2/pokemon/15/'}"
1154,https://pokeapi.co/api/v2/pokemon/?offset=1000&limit=154,,"{'name': 'pidgey', 'url': 'https://pokeapi.co/api/v2/pokemon/16/'}"
1154,https://pokeapi.co/api/v2/pokemon/?offset=1000&limit=154,,"{'name': 'pidgeotto', 'url': 'https://pokeapi.co/api/v2/pokemon/17/'}"
1154,https://pokeapi.co/api/v2/pokemon/?offset=1000&limit=154,,"{'name': 'pidgeot', 'url': 'https://pokeapi.co/api/v2/pokemon/18/'}"
1154,https://pokeapi.co/api/v2/pokemon/?offset=1000&limit=154,,"{'name': 'rattata', 'url': 'https://pokeapi.co/api/v2/pokemon/19/'}"
1154,https://pokeapi.co/api/v2/pokemon/?offset=1000&limit=154,,"{'name': 'raticate', 'url': 'https://pokeapi.co/api/v2/pokemon/20/'}"
1154,https://pokeapi.co/api/v2/pokemon/?offset=1000&limit=154,,"{'name': 'spearow', 'url': 'https://pokeapi.co/api/v2/pokemon/21/'}"
1154,https://pokeapi.co/api/v2/pokemon/?offset=1000&limit=154,,"{'name': 'fearow', 'url': 'https://pokeapi.co/api/v2/pokemon/22/'}"
1154,https://pokeapi.co/api/v2/pokemon/?offset=1000&limit=154,,"{'name': 'ekans', 'url': 'https://pokeapi.co/api/v2/pokemon/23/'}"
1154,https://pokeapi.co/api/v2/pokemon/?offset=1000&limit=154,,"{'name': 'arbok', 'url': 'https://pokeapi.co/api/v2/pokemon/24/'}"
1154,https://pokeapi.co/api/v2/pokemon/?offset=1000&limit=154,,"{'name': 'pikachu', 'url': 'https://pokeapi.co/api/v2/pokemon/25/'}"
1154,https://pokeapi.co/api/v2/pokemon/?offset=1000&limit=154,,"{'name': 'raichu', 'url': 'https://pokeapi.co/api/v2/pokemon/26/'}"
1154,https://pokeapi.co/api/v2/pokemon/?offset=1000&limit=154,,"{'name': 'sandshrew', 'url': 'https://pokeapi.co/api/v2/pokemon/27/'}"
1154,https://pokeapi.co/api/v2/pokemon/?offset=1000&limit=154,,"{'name': 'sandslash', 'url': 'https://pokeapi.co/api/v2/pokemon/28/'}"
1154,https://pokeapi.co/api/v2/pokemon/?offset=1000&limit=154,,"{'name': 'nidoran-f', 'url': 'https://pokeapi.co/api/v2/pokemon/29/'}"
1154,https://pokeapi.co/api/v2/pokemon/?offset=1000&limit=154,,"{'name': 'nidorina', 'url': 'https://pokeapi.co/api/v2/pokemon/30/'}"
1154,https://pokeapi.co/api/v2/pokemon/?offset=1000&limit=154,,"{'name': 'nidoqueen', 'url': 'https://pokeapi.co/api/v2/pokemon/31/'}"
1154,https://pokeapi.co/api/v2/pokemon/?offset=1000&limit=154,,"{'name': 'nidoran-m', 'url': 'https://pokeapi.co/api/v2/pokemon/32/'}"
1154,https://pokeapi.co/api/v2/pokemon/?offset=1000&limit=154,,"{'name': 'nidorino', 'url': 'https://pokeapi.co/api/v2/pokemon/33/'}"
1154,https://pokeapi.co/api/v2/pokemon/?offset=1000&limit=154,,"{'name': 'nidoking', 'url': 'https://pokeapi.co/api/v2/pokemon/34/'}"
1154,https://pokeapi.co/api/v2/pokemon/?offset=1000&limit=154,,"{'name': 'clefairy', 'url': 'https://pokeapi.co/api/v2/pokemon/35/'}"
1154,https://pokeapi.co/api/v2/pokemon/?offset=1000&limit=154,,"{'name': 'clefable', 'url': 'https://pokeapi.co/api/v2/pokemon/36/'}"
